Rdzenie procesora,Przyspieszenie
0,0.
1,1.
2,1.9,
3,2.73,
4,3.48,
5,4.17,
6,4.8,
7,5.38,
8,5.93,
9,6.43,
10,6.9,
11,7.33,
12,7.74,
13,8.13,
14,8.48,
15,8.82,
16,9.14,
17,9.44,
18,9.73,
19,10.
20,10.26,
21,10.5,
22,10.73,
23,10.95,
24,11.16,
25,11.36,
26,11.56,
27,11.74,
28,11.91,
29,12.08,
30,12.24,
31,12.4,
32,12.55,
33,12.69,
34,12.83,
35,12.96,
36,13.09,
37,13.21,
38,13.33,
39,13.45,
40,13.56,
41,13.67,
42,13.77,
43,13.87,
44,13.97,
45,14.06,
46,14.15,
47,14.24,
48,14.33,
49,14.41,
50,14.49,
51,14.57,
52,14.65,
53,14.72,
54,14.79,
55,14.86,
56,14.93,
57,15.
58,15.06,
59,15.13,
60,15.19,
61,15.25,
62,15.31,
63,15.37,
64,15.42,
65,15.48,
66,15.53,
67,15.58,
68,15.63,
69,15.68,
70,15.73,
71,15.78,
72,15.82,
73,15.87,
74,15.91,
75,15.96,
76,16.
77,16.04,
78,16.08,
79,16.12,
80,16.16,
81,16.2,
82,16.24,
83,16.27,
84,16.31,
85,16.35,
86,16.38,
87,16.42,
88,16.45,
89,16.48,
90,16.51,
91,16.55,
92,16.58,
93,16.61,
94,16.64,
95,16.67,
96,16.7,
97,16.72,
98,16.75,
99,16.78,
100,16.81,
101,16.83,
102,16.86,
103,16.89,
104,16.91,
105,16.94,
106,16.96,
107,16.98,
108,17.01,
109,17.03,
110,17.05,
111,17.08,
112,17.1,
113,17.12,
114,17.14,
115,17.16,
116,17.19,
117,17.21,
118,17.23,
119,17.25,
120,17.27,
121,17.29,
122,17.3,
123,17.32,
124,17.34,
125,17.36,
126,17.38,
127,17.4,
128,17.41,
129,17.43,
130,17.45,
131,17.47,
132,17.48,
133,17.5,
134,17.52,
135,17.53,
136,17.55,
137,17.56,
138,17.58,
139,17.59,
140,17.61,
141,17.63,
142,17.64,
143,17.65,
144,17.67,
145,17.68,
146,17.7,
147,17.71,
148,17.72,
149,17.74,
150,17.75,
151,17.76,
152,17.78,
153,17.79,
154,17.8,
155,17.82,
156,17.83,
157,17.84,
158,17.85,
159,17.87,
160,17.88,
161,17.89,
162,17.9,
163,17.91,
164,17.92,
165,17.93,
166,17.95,
167,17.96,
168,17.97,
169,17.98,
170,17.99,
171,18.
172,18.01,
173,18.02,
174,18.03,
175,18.04,
176,18.05,
177,18.06,
178,18.07,
179,18.08,
180,18.09,
181,18.1,
182,18.11,
183,18.12,
184,18.13,
185,18.14,
186,18.15,
187,18.16,
188,18.16,
189,18.17,
190,18.18,
191,18.19,
192,18.2,
193,18.21,
194,18.22,
195,18.22,
196,18.23,
197,18.24,
198,18.25,
199,18.26,
200,18.26,
201,18.27,
202,18.28,
203,18.29,
204,18.3,
205,18.3,
206,18.31,
207,18.32,
208,18.33,
209,18.33,
210,18.34,
211,18.35,
212,18.35,
213,18.36,
214,18.37,
215,18.38,
216,18.38,
217,18.39,
218,18.4,
219,18.4,
220,18.41,
221,18.42,
222,18.42,
223,18.43,
224,18.44,
225,18.44,
226,18.45,
227,18.46,
228,18.46,
229,18.47,
230,18.47,
231,18.48,
232,18.49,
233,18.49,
234,18.5,
235,18.5,
236,18.51,
237,18.52,
238,18.52,
239,18.53,
240,18.53,
241,18.54,
242,18.54,
243,18.55,
244,18.56,
245,18.56,
246,18.57,
247,18.57,
248,18.58,
249,18.58,
250,18.59,
251,18.59,
252,18.6,
253,18.6,
254,18.61,
255,18.61,
256,18.62,
257,18.62,
258,18.63,
259,18.63,
260,18.64,
261,18.64,
262,18.65,
263,18.65,
264,18.66,
265,18.66,
266,18.67,
267,18.67,
268,18.68,
269,18.68,
270,18.69,
271,18.69,
272,18.69,
273,18.7,
274,18.7,
275,18.71,
276,18.71,
277,18.72,
278,18.72,
279,18.72,
280,18.73,
281,18.73,
282,18.74,
283,18.74,
284,18.75,
285,18.75,
286,18.75,
287,18.76,
288,18.76,
289,18.77,
290,18.77,
291,18.77,
292,18.78,
293,18.78,
