Rdzenie procesora,Przyspieszenie
0,0.0000000,
1,1.0000000,
2,1.8181818,
3,2.5000000,
4,3.0769231,
5,3.5714286,
6,4.0000000,
7,4.3750000,
8,4.7058824,
9,5.0000000,
10,5.2631579,
11,5.5000000,
12,5.7142857,
13,5.9090909,
14,6.0869565,
15,6.2500000,
16,6.4000000,
17,6.5384615,
18,6.6666667,
19,6.7857143,
20,6.8965517,
21,7.0000000,
22,7.0967742,
23,7.1875000,
24,7.2727273,
25,7.3529412,
26,7.4285714,
27,7.5000000,
28,7.5675676,
29,7.6315789,
30,7.6923077,
31,7.7500000,
32,7.8048780,
33,7.8571429,
34,7.9069767,
35,7.9545455,
36,8.0000000,
37,8.0434783,
38,8.0851064,
39,8.1250000,
40,8.1632653,
41,8.2000000,
42,8.2352941,
43,8.2692308,
44,8.3018868,
45,8.3333333,
46,8.3636364,
47,8.3928571,
48,8.4210526,
49,8.4482759,
50,8.4745763,
51,8.5000000,
52,8.5245902,
53,8.5483871,
54,8.5714286,
55,8.5937500,
56,8.6153846,
57,8.6363636,
58,8.6567164,
59,8.6764706,
60,8.6956522,
61,8.7142857,
62,8.7323944,
63,8.7500000,
64,8.7671233,
65,8.7837838,
66,8.8000000,
67,8.8157895,
68,8.8311688,
69,8.8461538,
70,8.8607595,
71,8.8750000,
72,8.8888889,
73,8.9024390,
74,8.9156627,
75,8.9285714,
76,8.9411765,
77,8.9534884,
78,8.9655172,
79,8.9772727,
80,8.9887640,
81,9.0000000,
82,9.0109890,
83,9.0217391,
84,9.0322581,
85,9.0425532,
86,9.0526316,
87,9.0625000,
88,9.0721649,
89,9.0816327,
90,9.0909091,
91,9.1000000,
92,9.1089109,
93,9.1176471,
94,9.1262136,
95,9.1346154,
96,9.1428571,
97,9.1509434,
98,9.1588785,
99,9.1666667,
100,9.1743119,
101,9.1818182,
102,9.1891892,
103,9.1964286,
104,9.2035398,
105,9.2105263,
106,9.2173913,
107,9.2241379,
108,9.2307692,
109,9.2372881,
110,9.2436975,
111,9.2500000,
112,9.2561983,
113,9.2622951,
114,9.2682927,
115,9.2741935,
116,9.2800000,
117,9.2857143,
118,9.2913386,
119,9.2968750,
120,9.3023256,
121,9.3076923,
122,9.3129771,
123,9.3181818,
124,9.3233083,
125,9.3283582,
126,9.3333333,
127,9.3382353,
128,9.3430657,
129,9.3478261,
130,9.3525180,
131,9.3571429,
132,9.3617021,
133,9.3661972,
134,9.3706294,
135,9.3750000,
136,9.3793103,
137,9.3835616,
138,9.3877551,
139,9.3918919,
140,9.3959732,
141,9.4000000,
142,9.4039735,
143,9.4078947,
144,9.4117647,
145,9.4155844,
146,9.4193548,
147,9.4230769,
148,9.4267516,
149,9.4303797,
150,9.4339623,
151,9.4375000,
152,9.4409938,
153,9.4444444,
154,9.4478528,
155,9.4512195,
156,9.4545455,
157,9.4578313,
158,9.4610778,
159,9.4642857,
160,9.4674556,
161,9.4705882,
162,9.4736842,
163,9.4767442,
164,9.4797688,
165,9.4827586,
166,9.4857143,
167,9.4886364,
168,9.4915254,
169,9.4943820,
170,9.4972067,
171,9.5000000,
172,9.5027624,
173,9.5054945,
174,9.5081967,
175,9.5108696,
176,9.5135135,
177,9.5161290,
178,9.5187166,
179,9.5212766,
180,9.5238095,
181,9.5263158,
182,9.5287958,
183,9.5312500,
184,9.5336788,
185,9.5360825,
186,9.5384615,
187,9.5408163,
188,9.5431472,
189,9.5454545,
190,9.5477387,
191,9.5500000,
192,9.5522388,
193,9.5544554,
194,9.5566502,
195,9.5588235,
196,9.5609756,
197,9.5631068,
198,9.5652174,
199,9.5673077,
200,9.5693780,
201,9.5714286,
202,9.5734597,
203,9.5754717,
204,9.5774648,
205,9.5794393,
206,9.5813953,
207,9.5833333,
208,9.5852535,
209,9.5871560,
210,9.5890411,
211,9.5909091,
212,9.5927602,
213,9.5945946,
214,9.5964126,
215,9.5982143,
216,9.6000000,
217,9.6017699,
218,9.6035242,
219,9.6052632,
220,9.6069869,
221,9.6086957,
222,9.6103896,
223,9.6120690,
224,9.6137339,
225,9.6153846,
226,9.6170213,
227,9.6186441,
228,9.6202532,
229,9.6218487,
230,9.6234310,
231,9.6250000,
232,9.6265560,
233,9.6280992,
234,9.6296296,
235,9.6311475,
236,9.6326531,
237,9.6341463,
238,9.6356275,
239,9.6370968,
240,9.6385542,
241,9.6400000,
242,9.6414343,
243,9.6428571,
244,9.6442688,
245,9.6456693,
246,9.6470588,
247,9.6484375,
248,9.6498054,
249,9.6511628,
250,9.6525097,
251,9.6538462,
252,9.6551724,
253,9.6564885,
254,9.6577947,
255,9.6590909,
256,9.6603774,
257,9.6616541,
